2025-09-09 16:29:19,668 - INFO - 开始训练 MADDPG...
2025-09-09 16:29:19,668 - INFO - 日志目录: log/train_2025-09-09-16-29
2025-09-09 16:29:19,668 - INFO - 配置文件已保存到: log/train_2025-09-09-16-29/config.json
2025-09-09 16:29:19,669 - INFO - 配置参数: {'map': {'kMaxX': 5.0, 'kMaxY': 5.0, 'kMinX': -5.0, 'kMinY': -5.0, 'kMaxObsR': 1.0, 'kMinObsR': 0.3, 'kNumAgents': 2, 'kNumGoals': 5, 'kNumObstacles': 3, 'kTimeStep': 0.1}, 'agent': {'kAgentRadius': 0.2, 'kMaxSpeed': 1.0, 'kMaxAngularSpeed': 1.0, 'kNumRadars': 32, 'kMaxRadarDist': 3.0}, 'goal': {'kGoalThreshold': 0.3}, 'reward': {'kTimeReward': -0.1, 'kCollisionReward': -100.0, 'kGoalReward': 100.0, 'kDistanceReward': 0.1, 'kAgentSeparationReward': 0.1, 'kMinAgentDistance': 1.0, 'kMinGoalDistance': 0.1}, 'training': {'max_episodes': 1000, 'max_steps_per_episode': 500, 'buffer_size': 100000, 'batch_size': 256, 'learning_rate': 0.001, 'lr_decay': 0.99, 'min_learning_rate': 0.001, 'gamma': 0.95, 'tau': 0.01, 'noise_std': 0.1, 'noise_decay': 0.995, 'min_noise_std': 0.01, 'smart_noise_control': True, 'save_interval': 500, 'log_interval': 10, 'device': 'cuda'}}
2025-09-09 16:29:19,698 - INFO - 使用设备: cuda
2025-09-09 16:29:19,704 - INFO - 环境创建成功 - Agent数量: 2, 目标数量: 5, 障碍物数量: 3
2025-09-09 16:29:19,705 - INFO - 状态维度 - Agent状态: 3, 观测维度: 32, 动作维度: 2
2025-09-09 16:29:19,705 - INFO - 全局状态维度: 30, 最大动作: [1. 1.]
2025-09-09 16:29:20,985 - INFO - 智能体团队创建成功
2025-09-09 16:29:20,985 - INFO - 经验回放缓冲区创建成功
2025-09-09 16:29:20,986 - INFO - 保存初始环境状态图...
2025-09-09 16:29:21,690 - INFO - 初始环境状态图已保存到: images/initial_environment_state.png
2025-09-09 16:29:21,690 - INFO - 开始训练循环...
2025-09-09 16:29:25,842 - INFO - Episode 10/1000 - 平均奖励: -101.305, 平均步数: 38.9, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0951, 平均用时: 0.42s
2025-09-09 16:29:27,546 - INFO - Episode 20/1000 - 平均奖励: -100.354, 平均步数: 11.5, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0905, 平均用时: 0.17s
2025-09-09 16:29:29,515 - INFO - Episode 30/1000 - 平均奖励: -100.354, 平均步数: 11.4, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0860, 平均用时: 0.20s
2025-09-09 16:29:31,418 - INFO - Episode 40/1000 - 平均奖励: -100.353, 平均步数: 11.5, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0818, 平均用时: 0.19s
2025-09-09 16:29:33,228 - INFO - Episode 50/1000 - 平均奖励: -100.360, 平均步数: 11.7, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0778, 平均用时: 0.18s
2025-09-09 16:29:34,970 - INFO - Episode 60/1000 - 平均奖励: -100.350, 平均步数: 11.3, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0740, 平均用时: 0.17s
2025-09-09 16:29:36,797 - INFO - Episode 70/1000 - 平均奖励: -100.351, 平均步数: 11.4, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0704, 平均用时: 0.18s
2025-09-09 16:29:38,479 - INFO - Episode 80/1000 - 平均奖励: -100.345, 平均步数: 11.1, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0670, 平均用时: 0.17s
2025-09-09 16:29:40,198 - INFO - Episode 90/1000 - 平均奖励: -100.348, 平均步数: 11.2, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0637, 平均用时: 0.17s
2025-09-09 16:29:41,903 - INFO - Episode 100/1000 - 平均奖励: -100.345, 平均步数: 11.1, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0606, 平均用时: 0.17s
2025-09-09 16:29:43,635 - INFO - Episode 110/1000 - 平均奖励: -100.349, 平均步数: 11.3, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0576, 平均用时: 0.17s
2025-09-09 16:29:45,297 - INFO - Episode 120/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0548, 平均用时: 0.17s
2025-09-09 16:29:46,989 - INFO - Episode 130/1000 - 平均奖励: -100.347, 平均步数: 11.2, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0521, 平均用时: 0.17s
2025-09-09 16:29:48,686 - INFO - Episode 140/1000 - 平均奖励: -100.347, 平均步数: 11.2, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0496, 平均用时: 0.17s
2025-09-09 16:29:50,355 - INFO - Episode 150/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0471, 平均用时: 0.17s
2025-09-09 16:29:52,042 - INFO - Episode 160/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0448, 平均用时: 0.17s
2025-09-09 16:29:53,732 - INFO - Episode 170/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0427, 平均用时: 0.17s
2025-09-09 16:29:55,455 - INFO - Episode 180/1000 - 平均奖励: -100.342, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0406, 平均用时: 0.17s
2025-09-09 16:29:57,150 - INFO - Episode 190/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0386, 平均用时: 0.17s
2025-09-09 16:29:58,850 - INFO - Episode 200/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0367, 平均用时: 0.17s
2025-09-09 16:30:00,470 - INFO - Episode 210/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0349, 平均用时: 0.16s
2025-09-09 16:30:02,077 - INFO - Episode 220/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0332, 平均用时: 0.16s
2025-09-09 16:30:03,774 - INFO - Episode 230/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0316, 平均用时: 0.17s
2025-09-09 16:30:05,531 - INFO - Episode 240/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0300, 平均用时: 0.18s
2025-09-09 16:30:07,245 - INFO - Episode 250/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0286, 平均用时: 0.17s
2025-09-09 16:30:08,909 - INFO - Episode 260/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0272, 平均用时: 0.17s
2025-09-09 16:30:10,635 - INFO - Episode 270/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0258, 平均用时: 0.17s
2025-09-09 16:30:12,476 - INFO - Episode 280/1000 - 平均奖励: -100.343, 平均步数: 11.0, 成功率: 0.000, 平均完成任务点: 0.00, 学习率: 0.001000, 噪声标准差: 0.0246, 平均用时: 0.18s
